Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-29,12:51:14,entry,21476.0,21476.0,NQ1!,1,sell,short,0.0
2025-01-29,12:51:49,exit,21484.0,21484.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:00:13,entry,21460.0,21460.0,NQ1!,1,buy,long,0.0
2025-01-29,13:00:14,exit,21464.0,21464.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:00:22,entry,21436.0,21436.0,NQ1!,1,sell,short,0.0
2025-01-29,13:00:22,exit,21436.0,21436.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:00:32,entry,21444.0,21444.0,NQ1!,1,buy,long,0.0
2025-01-29,13:00:32,exit,21444.0,21444.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:00:39,entry,21412.0,21412.0,NQ1!,1,sell,short,0.0
2025-01-29,13:00:39,exit,21412.0,21412.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:00:40,entry,21420.0,21420.0,NQ1!,1,sell,short,0.0
2025-01-29,13:00:41,exit,21412.0,21412.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:00:46,entry,21416.0,21416.0,NQ1!,1,buy,long,0.0
2025-01-29,13:00:51,exit,21408.0,21408.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:02:45,entry,21456.0,21456.0,NQ1!,1,sell,short,0.0
2025-01-29,13:03:08,exit,21460.0,21460.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:10:11,exit,21428.0,21428.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:10:12,entry,21432.0,21432.0,NQ1!,1,sell,short,0.0
2025-01-29,13:16:37,entry,21416.0,21416.0,NQ1!,1,sell,short,0.0
2025-01-29,13:17:17,exit,21400.0,21400.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:20:05,entry,21412.0,21412.0,NQ1!,1,buy,long,0.0
2025-01-29,13:20:55,exit,21408.0,21408.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:26:43,entry,21404.0,21404.0,NQ1!,1,sell,short,0.0
2025-01-29,13:27:26,exit,21412.0,21412.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:37:17,entry,21412.0,21412.0,NQ1!,1,buy,long,0.0
2025-01-29,13:37:54,exit,21432.0,21432.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:39:52,entry,21484.0,21484.0,NQ1!,1,buy,long,0.0
2025-01-29,13:39:52,exit,21484.0,21484.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:41:17,entry,21528.0,21528.0,NQ1!,1,sell,short,0.0
2025-01-29,13:41:23,exit,21536.0,21536.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:41:33,entry,21552.0,21552.0,NQ1!,1,buy,long,0.0
2025-01-29,13:42:08,exit,21556.0,21556.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:42:22,entry,21552.0,21552.0,NQ1!,1,sell,short,0.0
2025-01-29,13:42:47,exit,21532.0,21532.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:44:03,entry,21540.0,21540.0,NQ1!,1,buy,long,0.0
2025-01-29,13:44:14,exit,21532.0,21532.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:44:58,entry,21544.0,21544.0,NQ1!,1,buy,long,0.0
2025-01-29,13:44:58,exit,21544.0,21544.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:45:25,entry,21528.0,21528.0,NQ1!,1,sell,short,0.0
2025-01-29,13:45:35,exit,21524.0,21524.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:46:07,entry,21532.0,21532.0,NQ1!,1,buy,long,0.0
2025-01-29,13:46:49,exit,21552.0,21552.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:48:11,exit,21564.0,21564.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:48:11,entry,21564.0,21564.0,NQ1!,1,buy,long,0.0
2025-01-29,13:48:23,entry,21548.0,21548.0,NQ1!,1,sell,short,0.0
2025-01-29,13:48:38,exit,21544.0,21544.0,NQ1!,1,buy,flat,0.0
2025-01-29,13:50:08,entry,21552.0,21552.0,NQ1!,1,buy,long,0.0
2025-01-29,13:50:18,exit,21540.0,21540.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:57:16,entry,21520.0,21520.0,NQ1!,1,buy,long,0.0
2025-01-29,13:57:37,exit,21540.0,21540.0,NQ1!,1,sell,flat,0.0
2025-01-29,13:59:16,entry,21536.0,21536.0,NQ1!,1,sell,short,0.0
2025-01-29,14:00:18,exit,21540.0,21540.0,NQ1!,1,buy,flat,0.0
2025-01-30,02:32:30,entry,21684.0,21684.0,NQ1!,1,sell,short,0.0
2025-01-30,02:42:31,exit,21684.0,21684.0,NQ1!,1,buy,flat,0.0
2025-01-30,04:17:40,entry,21620.0,21620.0,NQ1!,1,sell,short,0.0
2025-01-30,04:26:11,exit,21624.0,21624.0,NQ1!,1,buy,flat,0.0
2025-01-30,04:35:42,entry,21640.0,21640.0,NQ1!,1,buy,long,0.0
2025-01-30,04:45:09,exit,21636.0,21636.0,NQ1!,1,sell,flat,0.0
2025-01-30,05:00:58,entry,21628.0,21628.0,NQ1!,1,sell,short,0.0
2025-01-30,05:02:50,exit,21632.0,21632.0,NQ1!,1,buy,flat,0.0
2025-01-30,05:47:40,entry,21652.0,21652.0,NQ1!,1,sell,short,0.0
2025-01-30,06:00:11,exit,21648.0,21648.0,NQ1!,1,buy,flat,0.0
2025-01-30,06:06:16,entry,21648.0,21648.0,NQ1!,1,buy,long,0.0
2025-01-30,06:07:46,exit,21644.0,21644.0,NQ1!,1,sell,flat,0.0
2025-01-30,06:11:26,entry,21624.0,21624.0,NQ1!,1,sell,short,0.0
2025-01-30,06:17:03,exit,21596.0,21596.0,NQ1!,1,buy,flat,0.0
2025-01-30,07:09:06,entry,21632.0,21632.0,NQ1!,1,buy,long,0.0
2025-01-30,07:19:53,exit,21636.0,21636.0,NQ1!,1,sell,flat,0.0
2025-01-30,07:31:26,entry,21652.0,21652.0,NQ1!,1,buy,long,0.0
2025-01-30,07:32:33,exit,21656.0,21656.0,NQ1!,1,sell,flat,0.0
2025-01-30,07:34:04,entry,21640.0,21640.0,NQ1!,1,sell,short,0.0
2025-01-30,07:38:08,exit,21624.0,21624.0,NQ1!,1,buy,flat,0.0
2025-01-30,08:05:05,entry,21648.0,21648.0,NQ1!,1,sell,short,0.0
2025-01-30,08:06:13,exit,21660.0,21660.0,NQ1!,1,buy,flat,0.0
2025-01-30,08:13:36,entry,21656.0,21656.0,NQ1!,1,buy,long,0.0
2025-01-30,08:15:11,exit,21648.0,21648.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:27:40,entry,21640.0,21640.0,NQ1!,1,buy,long,0.0
2025-01-30,08:27:40,exit,21644.0,21644.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:30:37,entry,21636.0,21636.0,NQ1!,1,sell,short,0.0
2025-01-30,08:30:47,exit,21636.0,21636.0,NQ1!,1,buy,flat,0.0
2025-01-30,08:31:34,entry,21660.0,21660.0,NQ1!,1,buy,long,0.0
2025-01-30,08:32:49,exit,21656.0,21656.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:33:12,entry,21652.0,21652.0,NQ1!,1,sell,short,0.0
2025-01-30,08:35:43,exit,21604.0,21604.0,NQ1!,1,buy,flat,0.0
2025-01-30,08:37:05,entry,21612.0,21612.0,NQ1!,1,buy,long,0.0
2025-01-30,08:41:56,exit,21644.0,21644.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:42:39,entry,21628.0,21628.0,NQ1!,1,sell,short,0.0
2025-01-30,08:43:37,exit,21632.0,21632.0,NQ1!,1,buy,flat,0.0
2025-01-30,08:43:54,entry,21648.0,21648.0,NQ1!,1,buy,long,0.0
2025-01-30,08:45:17,exit,21644.0,21644.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:45:24,entry,21644.0,21644.0,NQ1!,1,buy,long,0.0
2025-01-30,08:45:34,exit,21640.0,21640.0,NQ1!,1,sell,flat,0.0
2025-01-30,08:55:21,entry,21716.0,21716.0,NQ1!,1,buy,long,0.0
2025-01-30,08:57:05,exit,21720.0,21720.0,NQ1!,1,sell,flat,0.0
