symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21580,21572,1/30/2025 9:48,1/30/2025 9:49,35sec,($160.00),163,"$7,440.00 "
NQH5,0.25,1,21540,21556,1/30/2025 9:52,1/30/2025 9:51,-55sec,$320.00 ,164,"$7,760.00 "
NQH5,0.25,1,21472,21464,1/30/2025 10:00,1/30/2025 9:59,-30sec,($160.00),165,"$7,600.00 "
NQH5,0.25,1,21476,21468,1/30/2025 10:01,1/30/2025 10:01,12sec,($160.00),166,"$7,440.00 "
NQH5,0.25,1,21452,21452,1/30/2025 10:01,1/30/2025 10:01,0sec,$0.00 ,167,"$7,440.00 "
NQH5,0.25,1,21468,21476,1/30/2025 10:03,1/30/2025 10:04,1min 26sec,$160.00 ,168,"$7,600.00 "
NQH5,0.25,1,21476,21460,1/30/2025 10:10,1/30/2025 10:09,-31sec,($320.00),169,"$7,280.00 "
NQH5,0.25,1,21452,21452,1/30/2025 10:13,1/30/2025 10:13,0sec,$0.00 ,170,"$7,280.00 "
NQH5,0.25,1,21436,21436,1/30/2025 10:15,1/30/2025 10:17,1min 25sec,$0.00 ,171,"$7,280.00 "
NQH5,0.25,1,21532,21524,1/30/2025 10:27,1/30/2025 10:26,-37sec,($160.00),172,"$7,120.00 "
NQH5,0.25,1,21556,21560,1/30/2025 10:30,1/30/2025 10:30,18sec,$80.00 ,173,"$7,200.00 "
NQH5,0.25,1,21528,21544,1/30/2025 10:35,1/30/2025 10:31,-208sec,$320.00 ,174,"$7,520.00 "
NQH5,0.25,1,21540,21532,1/30/2025 10:36,1/30/2025 10:38,1min 38sec,($160.00),175,"$7,360.00 "
NQH5,0.25,1,21556,21564,1/30/2025 10:46,1/30/2025 10:49,2min 49sec,$160.00 ,176,"$7,520.00 "
NQH5,0.25,1,21588,21600,1/30/2025 11:00,1/30/2025 11:00,-41sec,$240.00 ,177,"$7,760.00 "
NQH5,0.25,1,21580,21572,1/30/2025 11:11,1/30/2025 11:12,22sec,($160.00),178,"$7,600.00 "
NQH5,0.25,1,21536,21560,1/30/2025 11:17,1/30/2025 11:13,-243sec,$480.00 ,179,"$8,080.00 "
NQH5,0.25,1,21552,21540,1/30/2025 11:18,1/30/2025 11:19,1min 31sec,($240.00),180,"$7,840.00 "
NQH5,0.25,1,21516,21524,1/30/2025 11:28,1/30/2025 11:26,-125sec,$160.00 ,181,"$8,000.00 "
NQH5,0.25,1,21532,21520,1/30/2025 11:28,1/30/2025 11:29,39sec,($240.00),182,"$7,760.00 "
NQH5,0.25,1,21516,21520,1/30/2025 11:33,1/30/2025 11:31,-135sec,$80.00 ,183,"$7,840.00 "
NQH5,0.25,1,21520,21524,1/30/2025 11:45,1/30/2025 11:44,-58sec,$80.00 ,184,"$7,920.00 "
NQH5,0.25,1,21540,21544,1/30/2025 11:48,1/30/2025 11:50,2min 0sec,$80.00 ,185,"$8,000.00 "
NQH5,0.25,1,21564,21556,1/30/2025 12:23,1/30/2025 12:15,-517sec,($160.00),186,"$7,840.00 "
NQH5,0.25,1,21568,21600,1/30/2025 12:32,1/30/2025 12:41,8min 26sec,$640.00 ,187,"$8,480.00 "
NQH5,0.25,1,21600,21588,1/30/2025 13:05,1/30/2025 13:04,-23sec,($240.00),188,"$8,240.00 "
NQH5,0.25,1,21616,21608,1/30/2025 13:12,1/30/2025 13:16,4min 33sec,($160.00),189,"$8,080.00 "
NQH5,0.25,1,21784,21772,1/31/2025 2:33,1/31/2025 2:28,-281sec,($240.00),190,"$7,840.00 "
NQH5,0.25,1,21772,21784,1/31/2025 3:05,1/31/2025 3:12,6min 46sec,$240.00 ,191,"$8,080.00 "
NQH5,0.25,1,21788,21776,1/31/2025 4:02,1/31/2025 3:52,-628sec,($240.00),192,"$7,840.00 "
NQH5,0.25,1,21788,21776,1/31/2025 5:03,1/31/2025 4:52,-677sec,($240.00),193,"$7,600.00 "
NQH5,0.25,1,21804,21792,1/31/2025 5:17,1/31/2025 5:31,14min 4sec,($240.00),194,"$7,360.00 "
NQH5,0.25,1,21792,21788,1/31/2025 7:30,1/31/2025 7:30,-2sec,($80.00),195,"$7,280.00 "
NQH5,0.25,1,21788,21784,1/31/2025 7:30,1/31/2025 7:30,-4sec,($80.00),196,"$7,200.00 "
NQH5,0.25,1,21772,21772,1/31/2025 7:35,1/31/2025 7:35,0sec,$0.00 ,197,"$7,200.00 "
NQH5,0.25,1,21784,21772,1/31/2025 7:39,1/31/2025 7:42,3min 26sec,($240.00),198,"$6,960.00 "
NQH5,0.25,1,21768,21768,1/31/2025 8:12,1/31/2025 8:12,0sec,$0.00 ,199,"$6,960.00 "
NQH5,0.25,1,21812,21824,1/31/2025 8:32,1/31/2025 8:32,-16sec,$240.00 ,200,"$7,200.00 "
NQH5,0.25,1,21792,21788,1/31/2025 8:37,1/31/2025 8:38,1min 10sec,($80.00),201,"$7,120.00 "
NQH5,0.25,1,21800,21792,1/31/2025 8:44,1/31/2025 8:43,-55sec,($160.00),202,"$6,960.00 "
NQH5,0.25,1,21820,21808,1/31/2025 8:45,1/31/2025 8:45,6sec,($240.00),203,"$6,720.00 "
NQH5,0.25,1,21824,21816,1/31/2025 8:51,1/31/2025 8:51,-34sec,($160.00),204,"$6,560.00 "
NQH5,0.25,1,21836,21844,1/31/2025 8:52,1/31/2025 8:52,1sec,$160.00 ,205,"$6,720.00 "
NQH5,0.25,1,21844,21836,1/31/2025 8:58,1/31/2025 8:58,-42sec,($160.00),206,"$6,560.00 "
